O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
11-1021.00,General and Operations Managers,Human resources software,43231505,Human resources ,N
11-1021.00,General and Operations Managers,IBM Cognos Impromptu,43232314,Business intelligence and data analysis ,Y
11-1021.00,General and Operations Managers,IBM Domino,43232902,Communications server ,N
11-1021.00,General and Operations Managers,IBM InfoSphere DataStage,43232403,Enterprise application integration ,Y
11-1021.00,General and Operations Managers,IBM Notes,43233501,Electronic mail ,Y
11-1021.00,General and Operations Managers,IBM Power Systems software,43233701,Enterprise system management ,N
11-1021.00,General and Operations Managers,IBM SPSS Statistics,43232605,Analytical or scientific ,Y
11-1021.00,General and Operations Managers,InnQuest Software roomMaster,43232603,Facilities management ,N
11-1021.00,General and Operations Managers,Inventory management software,43231508,Inventory management ,N
11-1021.00,General and Operations Managers,Job control language JCL,43233004,Operating system ,Y
11-1021.00,General and Operations Managers,Kronos Workforce Payroll,43231605,Time accounting ,N
11-1021.00,General and Operations Managers,Kronos Workforce Timekeeper,43231605,Time accounting ,N
11-1021.00,General and Operations Managers,LexisNexis,43232309,Information retrieval or search ,N
11-1021.00,General and Operations Managers,LinkedIn,43232107,Web page creation and editing ,Y
11-1021.00,General and Operations Managers,LSA Visual Easy Lean,43231506,Materials requirements planning logistics and supply chain ,N
11-1021.00,General and Operations Managers,Marketo Marketing Automation,43231514,Sales and marketing ,Y
11-1021.00,General and Operations Managers,Maximizer Software Maximizer Enterprise,43232303,Customer relationship management CRM ,N
11-1021.00,General and Operations Managers,McAfee,43233205,Transaction security and virus protection ,Y
11-1021.00,General and Operations Managers,Microsoft Dynamics,43231602,Enterprise resource planning ERP ,Y
11-1021.00,General and Operations Managers,Microsoft Exchange Server,43233501,Electronic mail ,Y
11-1021.00,General and Operations Managers,Microsoft FrontPage,43232107,Web page creation and editing ,N
11-1021.00,General and Operations Managers,Microsoft Internet Explorer,43232705,Internet browser ,N
11-1021.00,General and Operations Managers,Microsoft SQL Server,43232306,Data base user interface and query ,Y
11-1021.00,General and Operations Managers,Microsoft Visio,43232102,Graphics or photo imaging ,Y
11-1021.00,General and Operations Managers,Microsoft Visual Basic,43232402,Development environment ,Y
11-1021.00,General and Operations Managers,Microsoft Windows,43233004,Operating system ,Y
11-1021.00,General and Operations Managers,MicroStrategy,43232314,Business intelligence and data analysis ,Y
11-1021.00,General and Operations Managers,Minitab,43232605,Analytical or scientific ,Y
11-1021.00,General and Operations Managers,Mozilla Firefox,43232705,Internet browser ,N
11-1021.00,General and Operations Managers,Mozilla Thunderbird,43233501,Electronic mail ,N
11-1021.00,General and Operations Managers,Nagios,43232801,Network monitoring ,Y
11-1021.00,General and Operations Managers,NetSuite ERP,43231602,Enterprise resource planning ERP ,Y
11-1021.00,General and Operations Managers,NetSuite NetCRM,43232303,Customer relationship management CRM ,N
11-1021.00,General and Operations Managers,Oracle Business Intelligence Enterprise Edition,43232314,Business intelligence and data analysis ,Y
11-1021.00,General and Operations Managers,Oracle E-Business Suite Financials,43231604,Financial analysis ,N
11-1021.00,General and Operations Managers,Oracle Eloqua,43232303,Customer relationship management CRM ,N
11-1021.00,General and Operations Managers,Oracle Fusion Applications,43231602,Enterprise resource planning ERP ,Y
11-1021.00,General and Operations Managers,Oracle Hyperion,43231602,Enterprise resource planning ERP ,Y
11-1021.00,General and Operations Managers,Oracle JD Edwards EnterpriseOne,43231602,Enterprise resource planning ERP ,Y
11-1021.00,General and Operations Managers,Oracle PeopleSoft Financials,43231602,Enterprise resource planning ERP ,Y
11-1021.00,General and Operations Managers,Oracle Primavera Enterprise Project Portfolio Management,43231507,Project management ,Y
11-1021.00,General and Operations Managers,Oracle Solaris,43233004,Operating system ,Y
11-1021.00,General and Operations Managers,Oracle Taleo,43231505,Human resources ,Y
11-1021.00,General and Operations Managers,Payroll software,43231605,Time accounting ,N
